group,score
urban,58
urban,62
urban,55
urban,70
urban,48
urban,66
urban,73
urban,51
urban,60
urban,67
urban,54
urban,72
urban,49
urban,65
urban,58
urban,63
urban,71
urban,57
urban,68
urban,52
urban,75
urban,59
urban,64
urban,56
urban,69
urban,61
urban,53
urban,70
urban,66
urban,58
rural,45
rural,38
rural,52
rural,41
rural,47
rural,35
rural,50
rural,43
rural,39
rural,48
rural,44
rural,37
rural,51
rural,42
rural,46
rural,36
rural,49
rural,40
rural,53
rural,38
rural,45
rural,41
rural,47
rural,34
rural,50
rural,43
rural,38
rural,46
rural,39
rural,44
